Paper Id,Publishable
P001.pdf,0
P002.pdf,0
P003.pdf,1
P004.pdf,1
P005.pdf,1
P006.pdf,0
P007.pdf,1
P008.pdf,1
P009.pdf,1
P010.pdf,1
P011.pdf,1
P012.pdf,1
P013.pdf,1
P014.pdf,1
P015.pdf,1
P016.pdf,0
P017.pdf,1
P018.pdf,1
P019.pdf,1
P020.pdf,0
P021.pdf,1
P022.pdf,0
P023.pdf,1
P024.pdf,1
P025.pdf,1
P026.pdf,0
P027.pdf,1
P028.pdf,1
P029.pdf,1
P030.pdf,1
P031.pdf,0
P032.pdf,0
P033.pdf,1
P034.pdf,1
P035.pdf,0
P036.pdf,0
P037.pdf,1
P038.pdf,0
P039.pdf,0
P040.pdf,1
P041.pdf,0
P042.pdf,1
P043.pdf,0
P044.pdf,1
P045.pdf,1
P046.pdf,1
P047.pdf,0
P048.pdf,0
P049.pdf,1
P050.pdf,1
P051.pdf,1
P052.pdf,1
P053.pdf,0
P054.pdf,1
P055.pdf,1
P056.pdf,0
P057.pdf,0
P058.pdf,1
P059.pdf,1
P060.pdf,1
P061.pdf,1
P062.pdf,1
P063.pdf,1
P064.pdf,1
P065.pdf,1
P066.pdf,1
P067.pdf,1
P068.pdf,1
P069.pdf,0
P070.pdf,0
P071.pdf,1
P072.pdf,1
P073.pdf,0
P074.pdf,1
P075.pdf,1
P076.pdf,0
P077.pdf,0
P078.pdf,0
P079.pdf,1
P080.pdf,0
P081.pdf,0
P082.pdf,1
P083.pdf,1
P084.pdf,1
P085.pdf,1
P086.pdf,0
P087.pdf,1
P088.pdf,1
P089.pdf,1
P090.pdf,1
P091.pdf,1
P092.pdf,1
P093.pdf,1
P094.pdf,0
P095.pdf,1
P096.pdf,0
P097.pdf,0
P098.pdf,0
P099.pdf,1
P100.pdf,0
P101.pdf,1
P102.pdf,1
P103.pdf,1
P104.pdf,1
P105.pdf,0
P106.pdf,0
P107.pdf,0
P108.pdf,1
P109.pdf,1
P110.pdf,1
P111.pdf,1
P112.pdf,1
P113.pdf,1
P114.pdf,0
P115.pdf,1
P116.pdf,1
P117.pdf,1
P118.pdf,1
P119.pdf,0
P120.pdf,1
P121.pdf,1
P122.pdf,1
P123.pdf,1
P124.pdf,0
P125.pdf,1
P126.pdf,1
P127.pdf,1
P128.pdf,1
P129.pdf,0
P130.pdf,0
P131.pdf,1
P132.pdf,1
P133.pdf,1
P134.pdf,0
P135.pdf,1
